epsilon,V_N_numerical,V_N_predicted,V_N_ratio,d_JS_pF_pG,d_JS_pF_pG_over_epsilon_squared,d_JS_pF_base,d_JS_pF_base_over_epsilon_squared
1.000000000000e-01,8.312552672089e-04,8.333333333333e-04,9.975063206506e-01,1.470936390723e-05,1.470936390723e-03,1.470936390723e-05,1.470936390723e-03
3.162277660168e-02,8.331250527951e-05,8.333333333333e-05,9.997500633541e-01,4.633462381807e-07,4.633462381807e-04,4.633462382521e-07,4.633462382521e-04
1.000000000000e-02,8.333125005473e-06,8.333333333333e-06,9.999750006567e-01,2.899649566157e-08,2.899649566157e-04,2.899649566157e-08,2.899649566157e-04
3.162277660168e-03,8.333312499846e-07,8.333333333333e-07,9.999974999815e-01,7.566190906164e-09,7.566190906164e-04,7.566190906164e-09,7.566190906164e-04
